timestamp,gender,age,country,highest level of edu,profession,comorbid,infected,closest covid case,primary source of news ,preferred sm platform,sm activity,covid19 stats,preferred healthcare sys,belief in vaccination,predicted end
04-08-2020 18:29,Male,48,India,Master’s degree,Non-healthcare related profession,Yes,No,Family member but different household,Newspaper,Other,5,I check every day,Home Remedies,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:29,Male,35,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,Yes,Myself,Social Media,Whatsapp,4,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:30,Female,39,India,Master’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I don't pay attention to numbers,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:30,Male,37,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Family member but different household,Newspaper,Whatsapp,2,I check once a while (weekly/bi-weekly),Allopathy,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:31,Female,53,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,5,I check once every few days,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:31,Male,36,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,News apps/ Internet,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:32,Female,52,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,5,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:32,Male,46,India,Master’s degree,Non-healthcare related profession,Yes,No,Do not personally know anyone who has been infected,Newspaper,Facebook,3,I check every day,Home Remedies,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:33,Female,44,India,Bachelor’s degree,Currently not working,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Instagram,5,I check once a while (weekly/bi-weekly),Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:33,Female,43,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,Prefer not to say,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,5,I check once every few days,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:33,Male,50,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,Social Media,Whatsapp,5,I don't pay attention to numbers,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:34,Male,47,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,Prefer not to say,Colleague,Newspaper,Whatsapp,5,I check every day,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:34,Male,52,India,Doctorate degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,3,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:34,Male,49,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Other,3,I don't pay attention to numbers,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:34,Male,51,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Social Media,Other,2,I check once every few days,Allopathy,5,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:35,Female,55,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Do not personally know anyone who has been infected,Television,Whatsapp,3,I check every day,Allopathy,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:35,Male,54,India,"High school graduate, diploma or the equivalent",Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:35,Female,38,India,Bachelor’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,3,I check once every few days,Home Remedies,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:35,Male,54,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Social Media,Whatsapp,4,I check every day,Allopathy,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:36,Female,47,India,Professional degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Other,4,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:36,Male,56,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Television,Whatsapp,5,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:37,Male,45,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Twitter,5,I check every day,Allopathy,3,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:37,Male,52,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Do not personally know anyone who has been infected,Social Media,Facebook,3,I am keeping track of real time Covid-19 data,Allopathy,2,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:37,Female,39,India,Bachelor’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,4,I check every day,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:37,Male,42,India,Master’s degree,Non-healthcare related profession,Yes,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:38,Male,81,India,Professional degree,Currently not working,Yes,No,Family member but different household,Television,Whatsapp,3,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:38,Female,54,Outside India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Do not personally know anyone who has been infected,Social Media,Whatsapp,3,I check once every few days,Allopathy,4,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:38,Female,53,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Other,3,I check once a while (weekly/bi-weekly),Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:38,Male,55,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,5,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:38,Female,60,India,"High school graduate, diploma or the equivalent",Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Facebook,4,I check every day,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:38,Male,19,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Whatsapp,3,I don't pay attention to numbers,Ayurveda,1,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:39,Male,38,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,News apps/ Internet,Whatsapp,3,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:39,Male,54,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Twitter,5,I am keeping track of real time Covid-19 data,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:39,Male,43,India,Doctorate degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Twitter,5,I check once a while (weekly/bi-weekly),Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:40,Female,47,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Colleague,News apps/ Internet,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,4,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:40,Female,53,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Family member but different household,Newspaper,Other,3,I check once every few days,Allopathy,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:40,Female,56,India,Bachelor’s degree,Currently not working,No,No,Colleague,Newspaper,Whatsapp,4,I don't pay attention to numbers,Allopathy,3,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:41,Female,22,India,Bachelor’s degree,Currently not working,No,No,Family member but different household,News apps/ Internet,Instagram,4,I check once every few days,Home Remedies,3,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:41,Male,52,India,Bachelor’s degree,Non-healthcare related profession,Yes,No,Family member but different household,Television,Whatsapp,3,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:41,Female,23,Outside India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Social Media,Instagram,4,I don't pay attention to numbers,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:41,Male,54,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,3,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:41,Female,60,India,Bachelor’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,Television,Facebook,3,I check every day,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:41,Female,42,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,Yes,Myself,Television,Whatsapp,4,I check once a while (weekly/bi-weekly),Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:41,Prefer not to say,44,India,Professional degree,Non-healthcare related profession,Yes,No,Colleague,News apps/ Internet,Whatsapp,5,I check every day,Ayurveda,3,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:42,Male,40,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Family member but different household,Other,Whatsapp,4,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:42,Male,41,India,Bachelor’s degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",No,No,Do not personally know anyone who has been infected,Social Media,Facebook,4,I check every day,Ayurveda,2,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:42,Female,40,India,Bachelor’s degree,Currently not working,Yes,No,Do not personally know anyone who has been infected,News apps/ Internet,Other,4,I don't pay attention to numbers,Allopathy,4,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:42,Male,45,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Twitter,4,I check every day,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:42,Male,49,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:42,Male,38,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Whatsapp,3,I check once every few days,Ayurveda,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:42,Female,36,India,Master’s degree,Currently not working,No,No,Colleague,Social Media,Whatsapp,5,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:43,Female,43,India,Professional degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Twitter,5,I check once a while (weekly/bi-weekly),Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:43,Female,39,India,Professional degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Twitter,4,I check once every few days,Ayurveda,3,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:43,Female,20,India,Bachelor’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Instagram,5,I check once every few days,Home Remedies,3,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:43,Female,61,India,Master’s degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",Yes,Yes,Myself,Television,Other,3,I check once a while (weekly/bi-weekly),Allopathy,2,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:43,Male,53,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,4,I check once every few days,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:43,Female,40,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,1,I check every day,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:44,Male,45,India,Professional degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,5,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:44,Male,37,India,Bachelor’s degree,Non-healthcare related profession,No,No,Colleague,Television,Whatsapp,5,I check every day,Allopathy,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:44,Male,43,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Newspaper,Whatsapp,3,I check once a while (weekly/bi-weekly),Homeopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:44,Male,43,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Whatsapp,4,I check once every few days,Allopathy,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:44,Female,46,India,Master’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:44,Male,56,India,"High school graduate, diploma or the equivalent",Currently not working,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Facebook,3,I check every day,Ayurveda,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:45,Male,41,India,Bachelor’s degree,Non-healthcare related profession,No,No,Colleague,Television,Whatsapp,2,I check every day,Allopathy,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:45,Male,38,India,Professional degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Social Media,Facebook,4,I don't pay attention to numbers,Allopathy,3,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:45,Male,54,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Whatsapp,5,I don't pay attention to numbers,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:45,Male,38,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,News apps/ Internet,Whatsapp,5,I check once every few days,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:45,Female,35,India,Bachelor’s degree,Non-healthcare related profession,Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Twitter,3,I check once every few days,Allopathy,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:45,Male,52,India,"High school graduate, diploma or the equivalent",Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Other,2,I check once every few days,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:45,Male,70,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Family member but different household,Television,Whatsapp,4,I check once a while (weekly/bi-weekly),Allopathy,2,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:45,Female,37,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Facebook,3,I check once a while (weekly/bi-weekly),Home Remedies,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:45,Female,53,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,Prefer not to say,Colleague,Television,Whatsapp,3,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:45,Female,50,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Other,Whatsapp,3,I check once a while (weekly/bi-weekly),Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:45,Male,35,India,Bachelor’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Social Media,Facebook,3,I check every day,Home Remedies,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:45,Male,53,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:45,Male,54,India,Professional degree,Non-healthcare related profession,No,Yes,Myself,Social Media,Twitter,3,I check once a while (weekly/bi-weekly),Allopathy,4,I do not see an end to this pandemic in the foreseeable future. This virus is here to stay.
04-08-2020 18:45,Male,39,India,Master’s degree,Non-healthcare related profession,No,No,Family member but different household,News apps/ Internet,Other,3,I check every day,Home Remedies,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:45,Female,37,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,Television,Other,2,I check once a while (weekly/bi-weekly),Ayurveda,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:46,Female,34,India,Bachelor’s degree,Currently not working,No,No,Family member but different household,Television,Whatsapp,5,I am keeping track of real time Covid-19 data,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:46,Male,38,India,Bachelor’s degree,Non-healthcare related profession,Yes,No,Family member but different household,News apps/ Internet,Other,3,I check once every few days,Home Remedies,1,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:46,Female,53,India,Doctorate degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Colleague,Other,Whatsapp,5,I am keeping track of real time Covid-19 data,Allopathy,5,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:46,Male,41,India,Bachelor’s degree,Non-healthcare related profession,No,No,Colleague,News apps/ Internet,Facebook,5,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:46,Male,47,India,"High school graduate, diploma or the equivalent",Non-healthcare related profession,No,No,Colleague,Newspaper,Whatsapp,5,I check once every few days,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:46,Female,26,India,Master’s degree,Non-healthcare related profession,No,No,Family member residing in the same household,News apps/ Internet,Instagram,4,I check once every few days,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:46,Male,54,India,Bachelor’s degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Facebook,4,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:47,Male,24,India,"High school graduate, diploma or the equivalent",Non-healthcare related profession,Yes,Prefer not to say,Family member residing in the same household,Newspaper,Instagram,5,I check once every few days,Allopathy,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:47,Male,43,India,Master’s degree,Non-healthcare related profession,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,3,I check once every few days,Allopathy,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:47,Male,37,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Newspaper,Facebook,5,I check every day,Allopathy,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:47,Male,40,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Facebook,3,I check once every few days,Allopathy,4,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:47,Female,32,India,Master’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,4,I check once every few days,Allopathy,4,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:47,Male,44,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check once a while (weekly/bi-weekly),Allopathy,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:47,Female,39,India,Master’s degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check every day,Allopathy,5,"Without further lockdown, this virus will spread rapidly in the next 2-4 months to infect most of the population causing herd immunity"
04-08-2020 18:47,Female,36,India,Bachelor’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Whatsapp,4,I check every day,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:47,Female,35,India,Bachelor’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,1,I check once a while (weekly/bi-weekly),Ayurveda,3,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:47,Female,39,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),No,No,Do not personally know anyone who has been infected,Television,Whatsapp,3,I don't pay attention to numbers,Home Remedies,3,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:47,Female,35,India,Master’s degree,"Healthcare related (Pharmaceuticals/Biotechnology/Biomedical Engineering, etc)",Yes,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,5,I check once every few days,Home Remedies,4,"With intermittent lockdown and releases, this virus will linger on it its current form for the next 1-2 years"
04-08-2020 18:48,Female,49,India,Master’s degree,Currently not working,No,No,Do not personally know anyone who has been infected,News apps/ Internet,Whatsapp,1,I check once every few days,Home Remedies,5,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:48,Female,38,India,Master’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Facebook,3,I check once every few days,Home Remedies,4,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:48,Male,36,India,Master’s degree,Non-healthcare related profession,No,No,Neighbour (within apartment complex or immediate neighbourhood),Social Media,Whatsapp,3,I check once a while (weekly/bi-weekly),Home Remedies,3,An effective vaccine will be widely available within 4-6 months
04-08-2020 18:48,Female,50,India,Bachelor’s degree,Currently not working,No,No,Neighbour (within apartment complex or immediate neighbourhood),News apps/ Internet,Whatsapp,4,I check once every few days,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
04-08-2020 18:48,Female,44,India,Professional degree,Healthcare (Doctor/Nurse/Paramedic),Yes,No,Neighbour (within apartment complex or immediate neighbourhood),Television,Facebook,3,I am keeping track of real time Covid-19 data,Allopathy,5,The virus will mutate and become mild or harmless in the next few months
